freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
S,4100,4141901,GJ_GCV,I_TAX,EUR,AT	: 	20.9300 	20.2600 	20.9000 	21.8200 	21.0500 	20.9900 	20.4500 	23.1300 	24.2900 	25.5200 	25.5300 	25.4900 	25.1000 	25.0500 	24.6400 	24.4200 	23.9200 	23.7200 	23.2400 	23.2400 	30.1151 	27.1400 	28.8867 	26.7767 	28.6067 	27.1584 	28.1567 	26.9967 	29.3566 
S,4100,4141901,GJ_GCV,I_TAX,EUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	12.5510 	14.8980 	15.4082 	15.4082 	15.4082 	14.2347 	14.2347 	14.2347 	14.2650 	14.2650 	10.8598 	9.3311 	8.5335 	9.0790 	9.0462 	9.0493 	9.3109 	9.2525 	10.3855 	9.5979 	8.9115 	10.1061 
S,4100,4141901,GJ_GCV,I_TAX,EUR,BE	: 	21.4800 	23.8800 	28.1300 	24.4400 	21.9200 	22.1700 	23.7200 	24.2600 	26.7100 	26.0000 	28.5600 	25.6600 	24.8600 	23.9600 	25.8000 	22.0500 	25.2100 	20.8700 	21.9000 	20.2584 	22.0986 	21.1042 	25.0309 	21.5996 	24.7261 	18.4296 	19.3907 	17.7782 	24.9354 
S,4100,4141901,GJ_GCV,I_TAX,EUR,BG	: 	8.5131 	8.9938 	11.5912 	13.2375 	9.3875 	10.0931 	11.7305 	11.8622 	12.8081 	13.7693 	15.4003 	13.8102 	15.3185 	13.4063 	14.3522 	13.6722 	11.9951 	10.8191 	9.3466 	9.6585 	11.3184 	10.9091 	12.7011 	12.7619 	12.6188 	11.3728 	10.3812 	10.8049 	20.4109 
S,4100,4141901,GJ_GCV,I_TAX,EUR,CZ	: 	15.1113 	18.2522 	21.0187 	19.9823 	19.6196 	20.5834 	22.0641 	24.2165 	26.2469 	26.2014 	26.2612 	26.9340 	25.1006 	23.7495 	23.9244 	24.8725 	25.2727 	25.6439 	25.0605 	26.6118 	27.4781 	29.5790 	29.2447 	30.9373 	31.0924 	30.0860 	29.5206 	29.6712 	29.2531 
S,4100,4141901,GJ_GCV,I_TAX,EUR,DE	: 	25.9800 	26.2200 	30.1900 	27.8800 	26.2500 	25.3800 	28.2500 	28.5100 	29.1400 	28.8800 	29.2200 	29.6500 	30.9000 	30.8500 	29.5400 	30.2200 	29.4500 	30.3200 	28.2500 	28.8400 	28.1870 	28.3148 	28.4216 	29.9097 	21.9335 	23.0313 	23.0728 	22.9792 	25.1611 
S,4100,4141901,GJ_GCV,I_TAX,EUR,DK	22.6474 	24.5874 	26.6286 	27.2065 	22.2989 	23.6401 	26.4979 	26.8147 	28.6448 	28.5862 	27.2187 	26.5285 	27.5854 	27.1403 	25.2216 	24.3822 	30.3620 	29.2833 	27.9565 	28.6426 	28.9231 	28.7107 	28.3959 	29.5051 	31.2137 	27.8935 	27.8079 	28.3736 	31.5078 	42.8521 
S,4100,4141901,GJ_GCV,I_TAX,EUR,EA	22.3650 	23.9777 	23.8256 	28.0805 	25.5991 	25.0153 	23.4810 	27.9344 	25.7796 	30.2477 	27.2764 	32.5368 	28.7829 	33.5785 	30.1378 	34.2436 	28.9720 	33.7758 	28.7586 	32.3837 	28.0890 	33.0865 	28.6858 	34.6797 	30.4602 	32.3137 	27.4962 	31.8162 	26.5848 	34.7054 
S,4100,4141901,GJ_GCV,I_TAX,EUR,EE	: 	10.7211 	10.8941 	11.3406 	11.2987 	10.4182 	10.9148 	14.2668 	14.6400 	16.5100 	16.5700 	17.6000 	18.6200 	16.4300 	16.3300 	15.2300 	15.1500 	11.5100 	10.1400 	10.0400 	14.0265 	14.0090 	13.0527 	13.7137 	14.4918 	14.4108 	14.0588 	13.3248 	13.9648 	17.9692 
S,4100,4141901,GJ_GCV,I_TAX,EUR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40.6900 	24.6700 	37.6200 	23.4400 	32.1500 	22.1700 	32.2300 	18.7800 	28.3400 	18.5500 p	: c	17.1900 e	21.7080 	17.6931 	19.9817 	16.7678 	20.8556 	15.3074 	29.6824 
