freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
S,4100,4142901,GJ_GCV,I_TAX,EUR,AT	: 	14.8400 	: 	: 	17.2800 	16.9600 	16.7900 	17.1700 	17.6700 	18.4400 	18.5300 	19.0500 	19.3700 	19.7600 	19.5100 	18.8700 	18.6000 	18.1300 	17.8500 	17.5200 	16.5900 	17.1662 	16.6133 	16.8200 	16.3033 	16.8300 	16.0233 	15.6833 	16.2000 	18.2291 
S,4100,4142901,GJ_GCV,I_TAX,EUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	15.5612 	17.7041 	18.4184 	18.4184 	18.4184 	17.2449 	17.2449 	17.2449 	17.2817 	17.2817 	13.8560 	12.3324 	11.1564 	11.6228 	11.5835 	11.5994 	11.9285 	12.0785 	12.9032 	12.1773 	11.4954 	12.5788 
S,4100,4142901,GJ_GCV,I_TAX,EUR,BE	: 	13.4200 	15.7100 	19.6200 	15.5100 	13.4400 	13.8100 	16.0100 	16.7900 	18.0800 	18.6700 	18.1800 	17.6300 	17.5500 	17.2500 	16.4300 	15.3200 	15.5100 	13.7500 	13.5700 	13.5938 	13.9646 	13.0464 	14.6616 	14.2693 	13.2812 	12.4857 	12.7110 	12.6183 	17.6828 
S,4100,4142901,GJ_GCV,I_TAX,EUR,BG	: 	6.6264 	7.4957 	9.6789 	11.6321 	7.8996 	8.7125 	11.2723 	10.9162 	12.0104 	13.1353 	14.5772 	13.1864 	12.9768 	13.1046 	12.7978 	12.3786 	10.5021 	9.1829 	7.8280 	8.8762 	10.2630 	10.3804 	11.9654 	12.2752 	12.0092 	11.0790 	9.8157 	10.0876 	20.7182 
S,4100,4142901,GJ_GCV,I_TAX,EUR,CZ	: 	9.5338 	12.1427 	14.6542 	13.6463 	13.5870 	12.8013 	14.2342 	14.8557 	16.2874 	16.5730 	16.5217 	15.3043 	15.0094 	13.2025 	13.7320 	13.5196 	13.8221 	12.8107 	12.9454 	11.3324 	12.2818 	11.6776 	11.4464 	11.7412 	11.9975 	11.3136 	11.0207 	10.1382 	10.3288 
S,4100,4142901,GJ_GCV,I_TAX,EUR,DE	: 	15.2700 	16.7100 	18.3700 	15.7000 	13.6500 	14.3000 	15.5600 	16.0300 	16.1000 	16.7700 	16.9800 	17.2500 	17.1200 	16.6600 	15.9900 	15.8500 	15.6800 	14.9600 	14.6900 	14.3800 	14.1350 	13.9028 	13.9361 	13.7492 	13.9771 	14.7261 	14.2514 	15.5409 	18.0338 
S,4100,4142901,GJ_GCV,I_TAX,EUR,DK	21.9428 	23.7861 	25.7327 	26.2823 	25.5247 	26.6266 	25.7118 	26.0458 	27.4163 	27.1517 	25.6559 	25.3007 	25.7429 	25.6803 	25.2350 	24.5406 	24.0008 	23.0630 	21.8327 	22.5681 	22.8239 	22.5609 	23.6412 	24.1132 	23.0390 	20.7648 	20.3251 	20.2345 	22.5805 	36.5923 
S,4100,4142901,GJ_GCV,I_TAX,EUR,EA	15.8463 	13.8670 	14.6260 	16.6905 	16.2940 	14.7548 	14.4287 	15.6650 	15.8310 	17.2133 	18.0002 	19.1496 	18.7969 	19.4216 	18.2137 	18.6215 	17.6072 	17.6616 	16.2616 	16.3595 	15.5808 	15.9674 	15.5585 	16.9442 	16.6393 	17.1913 	16.8393 	16.8637 	16.5011 	20.5989 
S,4100,4142901,GJ_GCV,I_TAX,EUR,EE	: 	6.8807 	9.1227 	12.1982 	10.9100 	8.7086 	10.0156 	10.6337 	10.7900 	11.2800 	13.8300 	13.8100 	14.2200 	12.5700 	13.4800 	13.2700 	13.5200 	10.3100 	9.3600 	8.3200 	11.6500 	9.8700 	10.8242 	11.4812 	12.4038 	12.0852 	11.8805 	9.7745 	11.1090 	22.4496 
S,4100,4142901,GJ_GCV,I_TAX,EUR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.0600 	17.1500 	16.6300 	16.6500 	15.0100 	12.9500 	11.6800 	10.2900 	10.1500 	13.5000 p	9.8800 	14.6800 e	17.9371 	16.9923 	15.1975 	13.6632 	12.7935 	13.4448 	30.4816 
S,4100,4142901,GJ_GCV,I_TAX,EUR,ES	: 	10.2590 	10.6690 	12.2530 	14.7325 	13.8909 	12.7912 	13.4212 	13.9300 	12.5200 	15.6200 	16.3000 	16.3800 	18.5600 	16.6500 	18.6100 	16.4600 	17.6500 	14.5300 	15.3500 	13.3118 	12.2900 	12.5037 	15.2894 	14.4647 	15.8464 	13.8549 	11.4925 	12.5678 	19.0223 
S,4100,4142901,GJ_GCV,I_TAX,EUR,EU27_2020	15.9916 	13.4297 	14.2375 	16.2536 	15.6657 	14.4306 	14.1463 	15.3429 	15.5092 	16.8597 	17.5276 	18.6781 	18.1957 	18.8247 	17.6331 	18.0281 	17.1398 	17.1842 	15.7558 	15.8221 	15.0658 	15.4284 	15.0583 	16.3548 	16.1329 	16.6234 	16.2238 	16.1927 	15.8299 	20.4736 
S,4100,4142901,GJ_GCV,I_TAX,EUR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.3832 	21.1183 	22.5706 	24.2671 	23.2928 	21.5855 	20.8500 	25.8912 	41.2920 
S,4100,4142901,GJ_GCV,I_TAX,EUR,FR	: 	13.4800 	12.9600 	14.8920 	14.7900 	14.1100 	13.9700 	15.7000 	15.5400 	17.9200 	18.3200 	21.1900 	19.4200 	21.3600 	18.3400 	20.1600 	18.3600 	17.7500 	15.4700 	16.2500 	15.1206 	16.4649 	16.2996 	18.3884 	16.9562 	18.3371 	17.0858 	18.7868 	16.1420 	19.9735 
S,4100,4142901,GJ_GCV,I_TAX,EUR,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.0350 	7.0014 	7.4298 	7.1960 	6.9604 	6.0654 	6.3356 	7.2531 
S,4100,4142901,GJ_GCV,I_TAX,EUR,HR	8.3140 	7.7657 	7.7231 	7.8215 	8.9296 	9.1323 	11.6249 	13.4596 	13.8195 	14.7797 	15.6184 	17.0215 	17.0180 	16.1029 	15.9302 	15.7206 	15.9296 	14.6859 	14.1190 	12.1657 	11.5465 	11.1513 	11.2988 	12.6247 	13.2455 	13.1929 	12.7184 	12.0077 	12.3967 	18.2520 
S,4100,4142901,GJ_GCV,I_TAX,EUR,HU	: 	11.8380 	14.6796 	16.2824 	13.6982 	14.5468 	14.8034 	14.7532 	15.9704 	16.7386 	16.2267 	16.0050 	14.6262 	16.1113 	13.8567 	14.2792 	13.6320 	13.6625 	12.0901 	11.4506 	11.2520 	10.8208 	10.5111 	11.1126 	10.7147 	11.0159 	10.2995 	9.8803 	9.6114 	12.2274 
S,4100,4142901,GJ_GCV,I_TAX,EUR,IE	: 	14.2700 	14.1100 	17.1900 	16.3400 	14.5500 	11.7300 	13.0900 	12.0300 	14.2700 	14.2100 	16.4300 	16.0200 	17.8700 	16.6700 	18.1000 	16.4600 	17.5600 	16.1200 	16.4200 	15.1500 	16.3003 	13.8881 	17.4890 	15.1332 	16.5134 	15.5283 	16.6074 	13.6371 	20.5743 
S,4100,4142901,GJ_GCV,I_TAX,EUR,IT	14.0500 	12.6090 	13.2920 	15.6820 	16.5750 	16.1020 	14.3570 	15.7290 	15.8300 	19.5000 	20.0400 	21.8300 	21.6600 	21.6200 	20.4600 	20.9800 	19.6300 	20.3400 	18.1700 	18.5200 	17.2500 	18.8400 	17.6000 	20.0300 	19.8314 	20.1819 	18.7060 	19.7463 	17.8061 	24.1158 
S,4100,4142901,GJ_GCV,I_TAX,EUR,LT	: 	8.3724 	10.4928 	15.2503 	11.3336 	10.1251 	11.0221 	12.1267 	11.8918 	14.9531 	18.4893 	18.9904 	17.7247 	14.1537 	15.7611 	14.7214 	13.6100 	11.0500 	12.1200 	9.1700 	10.5900 	13.6602 	11.6244 	14.6811 	12.3920 	11.5496 	7.7162 	8.2877 	9.5061 	29.7230 
S,4100,4142901,GJ_GCV,I_TAX,EUR,LU	: 	10.7600 	12.2200 	13.7700 	14.3000 	13.1900 	11.1700 	12.7700 	13.8600 	15.4500 	16.0900 	16.0500 	17.2500 	15.8100 	14.8800 	14.3000 	13.7500 	13.1800 	12.0200 	11.3200 	11.2200 	11.1962 	11.4659 	11.9484 	12.5964 	11.5893 	12.1728 	11.0209 	12.3292 	17.8264 
S,4100,4142901,GJ_GCV,I_TAX,EUR,LV	: 	8.6043 	9.6922 	15.1822 	16.0555 	11.7138 	9.6294 	12.5353 	11.7531 	12.9554 	14.2632 	15.4962 	14.0950 	13.9929 	13.4900 	13.5100 	13.7600 	11.9000 	11.2800 	9.8800 	10.6600 	12.0044 	12.0846 	13.5224 	13.2663 	11.9725 	10.6067 	10.9729 	11.3372 	26.2861 
S,4100,4142901,GJ_GCV,I_TAX,EUR,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.5160 	8.7444 	8.2600 	8.1356 	8.4000 	8.5059 	7.5198 	7.6920 	8.3421 	8.4855 	8.4693 	7.5717 	5.0057 	13.8607 
S,4100,4142901,GJ_GCV,I_TAX,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	12.3745 	13.5056 	16.7789 	17.7182 	14.7549 	13.2468 	13.4067 	14.4538 	12.4496 	8.7754 	8.4017 	7.5201 	10.6899 	13.8586 	10.3989 	14.1216 	14.5486 	14.6191 	12.2367 	12.2288 	11.5926 	14.3561 
S,4100,4142901,GJ_GCV,I_TAX,EUR,NL	19.2800 	18.2500 	18.4700 	20.0300 	21.3600 	17.6800 	17.6600 	17.6700 	17.4000 	19.4700 	19.6100 	21.1500 	21.0300 	21.5600 	21.0000 	21.1800 	20.3300 	20.4700 	21.3300 	21.3500 	20.9700 	: u	: u	: u	: u	: u	: u	: u	: u	: u
S,4100,4142901,GJ_GCV,I_TAX,EUR,PL	: 	11.2507 	11.7315 	15.0214 	10.9819 	12.7540 	12.0040 	13.4992 	13.0085 	14.6290 	13.3531 	16.2155 	13.3062 	14.8441 	14.0442 	14.7176 	14.3680 	15.0651 	12.4521 	12.6503 	11.8165 	12.2211 	11.8620 	13.4353 	13.9468 	14.2873 	13.5885 	13.8435 	13.0981 	25.5749 
S,4100,4142901,GJ_GCV,I_TAX,EUR,PT	: 	13.3802 	15.3160 	14.4660 	15.4000 	14.0272 	12.3890 	15.8160 	15.8200 	18.6400 	19.9300 	22.5100 	22.9300 	25.1700 	25.3300 	26.6900 	26.0100 	25.0700 	23.0900 	20.0600 	19.1500 	19.1655 	18.5231 	18.8550 	19.7828 	20.7230 	19.6509 	20.1269 	18.7230 	20.4203 
S,4100,4142901,GJ_GCV,I_TAX,EUR,RO	: 	9.4360 	9.1558 	9.2554 	8.0714 	7.3840 	7.5767 	7.6507 	7.8407 	8.9422 	9.3275 	9.7920 	10.6464 	11.0756 	11.4025 	11.6001 	11.7314 	11.2443 	11.1445 	10.9725 	10.2724 e	9.6826 e	9.9470 e	10.1242 e	11.1659 e	11.8426 e	11.7527 e	10.5314 	10.4804 e	17.0220 e
S,4100,4142901,GJ_GCV,I_TAX,EUR,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.5758 	12.1186 	11.8174 	12.5342 	13.1426 	11.4355 	10.3352 	9.0077 	8.8549 	10.0027 	9.3746 	9.9108 	9.3439 	10.0365 	9.4239 	9.5574 	9.2343 	9.6005 
S,4100,4142901,GJ_GCV,I_TAX,EUR,SE	23.5717 	24.3756 	27.3037 	27.6659 	21.5969 	25.2977 	25.7088 	27.3277 	29.5545 	30.5976 	32.0823 	35.2929 	34.1326 	32.9150 	30.3597 	29.7678 	30.5629 	31.1315 	28.2646 	30.1785 	29.3852 	30.0258 	28.5711 	30.1742 	27.5676 	26.2734 	21.4652 e	21.6451 e	23.7215 e	48.6725 e
S,4100,4142901,GJ_GCV,I_TAX,EUR,SI	: 	14.4900 	14.6100 	20.4400 	19.3800 	15.9500 	16.1106 	18.6232 	17.5600 	22.0300 	22.7300 	21.0300 	19.4300 	19.7600 	16.0400 	19.9100 	17.6600 	17.0600 	16.2800 	15.2600 	15.1900 	14.3678 	15.6330 	16.3109 	15.8610 	16.1755 	15.4637 	14.8383 	14.4508 	16.7402 
S,4100,4142901,GJ_GCV,I_TAX,EUR,SK	: 	11.5225 	12.5208 	16.7126 	16.9960 	13.4640 	13.3410 	15.0670 	15.2700 	16.8700 	17.6000 	17.6700 	16.8700 	16.8500 	16.9300 	16.7700 	15.8200 	15.4600 	15.0400 	14.3000 	12.9102 	14.2392 	12.7550 	13.8230 	13.7500 	14.8020 	14.3830 	15.1060 	14.2570 	16.9550 
S,4100,4142901,GJ_GCV,I_TAX,EUR,TR	: 	8.3487 	8.5308 	11.3745 	9.9794 	7.7660 	8.3214 	8.5845 	8.1639 	7.6764 	9.3165 	10.6127 	11.0178 	9.6925 	8.8063 	9.8446 	10.3725 	9.4912 	9.4969 	8.5524 	7.3265 	6.7931 	6.0072 	5.6818 	5.5866 	7.1378 	6.7204 	5.6224 	: 	5.3308 
S,4100,4142901,GJ_GCV,I_TAX,EUR,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.7388 p	9.2644 	7.9754 	9.1003 	11.6195 	10.2684 	8.0328 	6.7699 	6.3360 	8.6468 	: 
S,4100,4142901,GJ_GCV,I_TAX,EUR,UK	13.8874 	12.9108 	12.7368 	14.1729 	13.6048 	11.9565 	12.6208 	11.8996 	12.7951 	13.8685 	16.0904 	17.5993 	16.1371 	17.4957 	17.5456 	20.6079 	18.9838 	20.9813 	16.7871 	15.2896 	14.3972 	14.9017 	13.9269 	16.1380 	15.8674 	17.6917 	16.7123 	: 	: 	: 
S,4100,4142901,GJ_GCV,I_TAX,NAC,AT	: 	14.8400 	: 	: 	17.2800 	16.9600 	16.7900 	17.1700 	17.6700 	18.4400 	18.5300 	19.0500 	19.3700 	19.7600 	19.5100 	18.8700 	18.6000 	18.1300 	17.8500 	17.5200 	16.5900 	17.1662 	16.6133 	16.8200 	16.3033 	16.8300 	16.0233 	15.6833 	16.2000 	18.2291 
S,4100,4142901,GJ_GCV,I_TAX,NAC,BA	: 	: 	: 	: 	: 	: 	: 	: 	30.5000 	34.7000 	36.1000 	36.1000 	36.1000 	33.8000 	33.8000 	33.8000 	33.8000 	33.8000 	27.1000 	24.1200 	21.8200 	22.7323 	22.6553 	22.6864 	23.3302 	23.6235 	25.2365 	23.8167 	22.4830 	24.6019 
S,4100,4142901,GJ_GCV,I_TAX,NAC,BE	: 	13.4200 	15.7100 	19.6200 	15.5100 	13.4400 	13.8100 	16.0100 	16.7900 	18.0800 	18.6700 	18.1800 	17.6300 	17.5500 	17.2500 	16.4300 	15.3200 	15.5100 	13.7500 	13.5700 	13.5938 	13.9646 	13.0464 	14.6616 	14.2693 	13.2812 	12.4857 	12.7110 	12.6183 	17.6828 
S,4100,4142901,GJ_GCV,I_TAX,NAC,BG	: 	12.9600 	14.6600 	18.9300 	22.7500 	15.4500 	17.0400 	22.0463 	21.3500 	23.4900 	25.6900 	28.5100 	25.7900 	25.3800 	25.6300 	25.0300 	24.2100 	20.5400 	17.9600 	15.3100 	17.3600 	20.0723 	20.3020 	23.4020 	24.0078 	23.4876 	21.6684 	19.1975 	19.7294 	40.5206 
S,4100,4142901,GJ_GCV,I_TAX,NAC,CZ	: 	261.0700 	305.9600 	362.2300 	370.3600 	350.0000 	329.3700 	353.8400 	361.7300 	404.4400 	417.2500 	415.1000 	393.2900 	394.0800 	362.3300 	379.3400 	371.8100 	374.1100 	346.4000 	349.9000 	303.4600 	317.7000 	297.7834 	295.2139 	301.5666 	307.8027 	298.0500 	292.8527 	262.1139 	262.7343 
S,4100,4142901,GJ_GCV,I_TAX,NAC,DE	: 	15.2700 	16.7100 	18.3700 	15.7000 	13.6500 	14.3000 	15.5600 	16.0300 	16.1000 	16.7700 	16.9800 	17.2500 	17.1200 	16.6600 	15.9900 	15.8500 	15.6800 	14.9600 	14.6900 	14.3800 	14.1350 	13.9028 	13.9361 	13.7492 	13.9771 	14.7261 	14.2514 	15.5409 	18.0338 
S,4100,4142901,GJ_GCV,I_TAX,NAC,DK	163.5000 	177.2100 	191.8800 	195.9400 	190.1400 	198.1900 	191.3500 	194.1000 	204.4200 	202.1500 	190.7500 	188.5500 	191.9700 	191.5400 	188.3200 	182.7600 	178.9549 	172.0753 	162.6528 	167.9227 	169.7378 	167.8630 	176.0705 	179.8521 	171.9886 	155.0515 	151.7210 	150.6249 	167.9275 	272.1445 
S,4100,4142901,GJ_GCV,I_TAX,NAC,EA	: 	14.0400 	14.7500 	16.6900 	16.3100 	14.7700 	14.4800 	15.7100 	15.8700 	17.2400 	18.0200 	19.2000 	18.8100 	19.4700 	18.2600 	18.7000 	17.6500 	17.7000 	16.3100 	16.4300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
S,4100,4142901,GJ_GCV,I_TAX,NAC,EE	: 	107.6590 	142.7390 	190.8610 	170.7040 	136.2600 	156.7100 	166.3811 	10.7900 	11.2800 	13.8300 	13.8100 	14.2200 	12.5700 	13.4800 	13.2700 	13.5200 	10.3100 	9.3600 	8.3200 	11.6500 	9.8700 	10.8242 	11.4812 	12.4038 	12.0852 	11.8805 	9.7745 	11.1090 	22.4496 
S,4100,4142901,GJ_GCV,I_TAX,NAC,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.0600 	17.1500 	16.6300 	16.6500 	15.0100 	12.9500 	11.6800 	10.2900 	10.1500 	13.5000 p	9.8800 	14.6800 e	17.9371 	16.9923 	15.1975 	13.6632 	12.7935 	13.4448 	30.4816 
S,4100,4142901,GJ_GCV,I_TAX,NAC,ES	: 	10.2590 	10.6690 	12.2530 	14.7325 	13.8909 	12.7912 	13.4212 	13.9300 	12.5200 	15.6200 	16.3000 	16.3800 	18.5600 	16.6500 	18.6100 	16.4600 	17.6500 	14.5300 	15.3500 	13.3118 	12.2900 	12.5037 	15.2894 	14.4647 	15.8464 	13.8549 	11.4925 	12.5678 	19.0223 
S,4100,4142901,GJ_GCV,I_TAX,NAC,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.3832 	21.1183 	22.5706 	24.2671 	23.2928 	21.5855 	20.8500 	25.8912 	41.2920 
S,4100,4142901,GJ_GCV,I_TAX,NAC,FR	: 	13.4800 	12.9600 	14.8920 	14.7900 	14.1100 	13.9700 	15.7000 	15.5400 	17.9200 	18.3200 	21.1900 	19.4200 	21.3600 	18.3400 	20.1600 	18.3600 	17.7500 	15.4700 	16.2500 	15.1206 	16.4649 	16.2996 	18.3884 	16.9562 	18.3371 	17.0858 	18.7868 	16.1420 	19.9735 
S,4100,4142901,GJ_GCV,I_TAX,NAC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.0051 	20.9810 	22.6950 	23.4181 	23.2490 	22.8131 	25.3603 	26.3160 
S,4100,4142901,GJ_GCV,I_TAX,NAC,HR	61.1700 	56.8300 	56.1500 	56.1500 	65.9200 	66.6600 	84.4700 	98.4000 	102.2300 	110.5500 	117.8000 	127.6800 	128.8300 	122.1800 	121.4600 	120.1700 	121.5000 	111.6200 	106.7500 	91.3400 	86.0000 	83.4063 	83.8125 	93.6563 	98.2813 	97.8438 	95.8250 	90.5750 	93.6000 	137.0250 
S,4100,4142901,GJ_GCV,I_TAX,NAC,HU	: 	2987.2100 	3723.7700 	4065.9500 	3971.7943 	3943.8600 	4021.8700 	4117.7000 	4302.8200 	4842.2400 	4793.6000 	4531.8200 	4329.5700 	4796.2600 	4252.8900 	4432.0500 	4191.7600 	4267.8100 	3780.5000 	3551.7400 	3481.6500 	3343.7389 	3301.6851 	3595.5516 	3433.4083 	3635.4009 	3557.0505 	3527.6026 	3439.7107 	4391.1539 
S,4100,4142901,GJ_GCV,I_TAX,NAC,IE	: 	14.2700 	14.1100 	17.1900 	16.3400 	14.5500 	11.7300 	13.0900 	12.0300 	14.2700 	14.2100 	16.4300 	16.0200 	17.8700 	16.6700 	18.1000 	16.4600 	17.5600 	16.1200 	16.4200 	15.1500 	16.3003 	13.8881 	17.4890 	15.1332 	16.5134 	15.5283 	16.6074 	13.6371 	20.5743 
S,4100,4142901,GJ_GCV,I_TAX,NAC,IT	14.0500 	12.6090 	13.2920 	15.6820 	16.5750 	16.1020 	14.3570 	15.7290 	15.8300 	19.5000 	20.0400 	21.8300 	21.6600 	21.6200 	20.4600 	20.9800 	19.6300 	20.3400 	18.1700 	18.5200 	17.2500 	18.8400 	17.6000 	20.0300 	19.8314 	20.1819 	18.7060 	19.7463 	17.8061 	24.1158 
S,4100,4142901,GJ_GCV,I_TAX,NAC,LT	: 	28.9083 	36.2296 	52.6563 	39.1326 	34.9601 	38.0570 	41.8709 	41.0600 	51.6300 	63.8400 	65.5700 	61.2000 	48.8700 	54.4200 	50.8300 	13.6100 	11.0500 	12.1200 	9.1700 	10.5900 	13.6602 	11.6244 	14.6811 	12.3920 	11.5496 	7.7162 	8.2877 	9.5061 	29.7230 
S,4100,4142901,GJ_GCV,I_TAX,NAC,LU	: 	10.7600 	12.2200 	13.7700 	14.3000 	13.1900 	11.1700 	12.7700 	13.8600 	15.4500 	16.0900 	16.0500 	17.2500 	15.8100 	14.8800 	14.3000 	13.7500 	13.1800 	12.0200 	11.3200 	11.2200 	11.1962 	11.4659 	11.9484 	12.5964 	11.5893 	12.1728 	11.0209 	12.3292 	17.8264 
S,4100,4142901,GJ_GCV,I_TAX,NAC,LV	: 	6.0200 	6.7700 	10.7300 	11.3400 	8.2600 	6.8200 	8.8900 	8.3100 	9.1400 	9.9600 	10.7900 	9.8700 	9.8300 	13.4900 	13.5100 	13.7600 	11.9000 	11.2800 	9.8800 	10.6600 	12.0044 	12.0846 	13.5224 	13.2663 	11.9725 	10.6067 	10.9729 	11.3372 	26.2861 
S,4100,4142901,GJ_GCV,I_TAX,NAC,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	171.9500 	188.8200 	183.6700 	177.9700 	175.7000 	176.4226 	152.0833 	149.7638 	165.3042 	165.7650 	164.8610 	151.5751 	106.5815 	285.0466 
S,4100,4142901,GJ_GCV,I_TAX,NAC,MK	: 	: 	: 	: 	: 	: 	: 	: 	761.4400 	830.9400 	1032.7000 	1089.9800 	909.2500 	815.3100 	826.5700 	890.3000 	766.7900 	540.8300 	518.2600 	462.5400 	658.5704 	852.9185 	639.8457 	868.3815 	894.9036 	899.0813 	754.4581 	754.4581 	714.7352 	884.6267 
