country	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
TR																																								0.0706	0.0782	0.0969	0.0909	0.0936	0.1067	0.1092	0.0977	0.0916	0.1059	0.1180	0.1190	0.1056	0.0956	0.1046	0.1082	0.0975	0.1020	0.0970	0.0844	0.0772	0.0737	0.0689	0.0683	0.0843	0.0804	0.0659	0.0675	0.0642
IT											0.1655		0.0506	0.0501	0.0485	0.0453	0.0480	0.0427	0.0449	0.0446	0.0454	0.0428	0.0458	0.0478	0.0628	0.0692	0.0807	0.0740	0.0723	0.0742	0.0765	0.0779	0.0755	0.0758	0.0777	0.0823	0.0848	0.0848	0.0938	0.1008						0.2184	0.2110	0.1969	0.1887	0.1916	0.2001	0.1993	0.2085	0.2055	0.2075	0.2002	0.2171	0.2171	0.2572	0.2217	0.2160	0.2382	0.3494	0.2926	0.3499	0.2877	0.3575	0.3322
FR																														0.1290	0.1257	0.1257	0.1283	0.1283	0.1283	0.1283	0.1283	0.1283	0.1305	0.1305	0.1856	0.1832	0.1723	0.1886	0.1787	0.1884	0.1973	0.2002	0.1947	0.2108	0.2281	0.2243	0.2107	0.2217	0.2232	0.2210	0.2158	0.2267	0.2233	0.2114	0.2712	0.3128	0.2497	0.2775	0.2981	0.3247	0.2884	0.3161
SK																																	0.1620	0.1654	0.1815	0.1764	0.2267	0.2199	0.1983	0.2067	0.1979	0.2146	0.1974	0.1962	0.1887	0.1997	0.1903	0.2022	0.2106	0.2161	0.2247	0.2149	0.1959	0.2007	0.2007	0.2065	0.1763	0.2092	0.1636	0.1595	0.1687	0.1606	0.1778	0.1720	0.1821	0.1902	0.1812	0.1809
BE	0.1700	0.1761	0.1738	0.1760	0.1757	0.1825	0.1836	0.1856	0.1869	0.1892	0.1992	0.1995	0.1782	0.1824	0.1886	0.1916	0.1903	0.1855	0.1777	0.1767	0.1710	0.1726	0.1718	0.1711	0.1664	0.1494	0.1520	0.1477	0.1536	0.1476	0.1489	0.1484	0.1517	0.1558	0.1665	0.1667	0.1687	0.1709	0.1992	0.2012	0.2153	0.2809	0.2024	0.2134	0.2241	0.2176	0.2304	0.2285	0.2250	0.2390	0.2186	0.2226	0.2186	0.2243	0.2296	0.2450	0.2519	0.2823	0.2916	0.2785	0.3013	0.3057	0.3411	0.3683	0.3150	0.3478	0.3080	0.2878
DK	0.1344	0.1295	0.1131	0.1280	0.1375	0.1374	0.1281	0.1274	0.1255	0.1264	0.1318	0.1310	0.1287	0.1285	0.1276	0.1314	0.1341	0.1329	0.1345	0.1328	0.1428	0.1452	0.1506	0.1503	0.1571	0.1576	0.1564	0.1586	0.1726	0.1693	0.1852	0.1700	0.1745	0.1730	0.1767	0.1836	0.1901	0.2044	0.2230	0.2026	0.1352	0.1490	0.1349	0.1197	0.1283	0.1337	0.1418	0.1447	0.1379	0.1307	0.1307	0.1245	0.1264	0.1233	0.1453	0.1399	0.1408	0.1476	0.1514	0.1488	0.1581	0.1688	0.1627	0.1639	0.1555	0.1521	0.1595	0.2066
SE																		0.1689	0.1720	0.1710	0.1710	0.1781	0.1659	0.1586	0.1619	0.1655	0.1596	0.1736	0.1780	0.1748	0.2129	0.2175	0.2280	0.2132	0.2150	0.2046	0.2153	0.2274	0.2410		0.2022	0.2121	0.1795	0.1935	0.2482	0.2366	0.2603	0.2417	0.2510	0.2567	0.2661	0.2485	0.2534	0.2547	0.2429	0.2458	0.2616	0.2624	0.2705	0.2682	0.2934	0.2560	0.3031	0.2877	0.2716	0.2791	0.2889	0.3411
EA																																0.1428	0.1456	0.1451	0.1508	0.1519	0.1544	0.1564	0.1621	0.1673	0.2119	0.2190	0.2192	0.2232	0.2263	0.2255	0.2295	0.2315	0.2286	0.2367	0.2436	0.2460	0.2510	0.2527	0.2575	0.2557	0.2562	0.2574	0.2729	0.2629	0.2896	0.3019	0.2921	0.2803	0.3006	0.2965	0.2973	0.3008
LV																																	0.0493	0.0581	0.0548	0.0548	0.0548	0.0584	0.0583	0.0697	0.0813	0.0956	0.0957	0.0959	0.0954	0.0953	0.0957	0.0962	0.0968	0.0799	0.0790	0.0693	0.0694	0.0697	0.0973	0.1094	0.1066	0.1282	0.1302	0.1302	0.1374	0.1251	0.1367	0.1477	0.1460	0.1438	0.1454	0.1750
RO																																			0.0431	0.0421	0.0419	0.0428	0.0452	0.0509	0.0895	0.0915	0.0818	0.0803	0.0863	0.0832	0.0848	0.0837	0.0823	0.0768	0.0920	0.0925	0.0943	0.0948	0.0978	0.0974	0.0948	0.0919	0.0881	0.0950	0.0988	0.0959	0.0968	0.1028	0.1054	0.1051	0.1138	0.1190
