country	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1990-S2 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
TR																																									7.3802	7.4344	10.9120	9.1711	6.8442	7.4309	7.5419	6.8417	6.8730	7.7709	9.5086	9.2830	8.4581	7.7143	8.6750	8.7555	8.0922	7.8522	7.0293	6.1384	5.6958	5.0177	4.9229	4.6651	6.1658	5.6632	4.6505	4.5326	4.3960
IT																																		11.7160	11.7160	10.9800	13.0550	13.3700	13.6300	14.2640		13.9480	17.7570	15.2350	13.3440	12.5160	20.3000	15.2700	22.3000	17.4800	26.2700	19.5300	25.5700	21.0300	28.8700	19.9200	27.3300	19.1100	26.1600	17.6900	26.7102	18.4704	28.8491	20.7078	34.4795	20.4861	32.1864	19.1870	36.7741
FR																																		15.0100			15.9000	17.3800	17.9900	17.9900	17.9900	22.1000	27.7450	24.2100	28.3300	23.7500	27.5200	25.5400	30.1200	25.8700	31.0600	28.0200	33.2900	30.2800	34.6900	28.7900	33.6500	28.5800	32.8600	28.7986	33.0902	29.2771	35.8088	31.6044	29.9980	27.7125	28.5968	25.7696	30.7493
SK																																		9.0103	9.1982	10.8366	10.5436	18.4039	18.0056	19.2225	19.4143	21.7052	22.8852	23.3480	23.1910	22.6740	22.5280	22.9400	23.4800	23.3200	23.0600	23.4300	24.1800	23.5400	24.0200	24.1300	24.0700	23.4100	22.9600	22.4100	23.1835	22.6270	24.4960	28.0240	28.5300	27.3650	28.2650	26.4690	27.6190
BE																																				15.4100	16.2800	17.6400	18.3100	17.5000	16.5800	19.4000	22.8800	19.7900	17.7200	17.9200	18.3500	18.3000	21.6000	19.8900	22.9500	20.4800	19.5200	18.9400	20.5200	18.1700	19.5000	15.8400	16.8300	16.1764	17.7218	16.8425	20.0419	17.2962	19.8650	14.6385	15.4281	14.2636	20.0498
DK																								14.8605	14.8653	15.9244	15.8924	15.7592	15.8005	15.6413	15.6472	15.6423	15.6406	15.6094	20.2407	23.2242	22.2300	24.3523	29.8786	25.1814	26.5824	14.3241	14.7843	10.7729	11.8415	13.1267	13.3906	14.7154	14.6081	13.4002	12.7691	12.2486	11.8936	10.1345	9.4424	15.3743	14.5177	13.4097	14.0518	14.4354	14.2697	13.9863	14.8866	16.3286	13.7121	13.5533	13.9816	16.3055	25.3813
SE																			11.6883	11.3644	10.9402	10.8288	10.7677	10.7018	11.1154	11.2716	11.5261	13.0818	13.7742	13.6657	13.5938	13.2777	16.4823	13.8998	13.5165	14.1253	12.8983	20.5346	21.3518	19.9020		18.1726	26.3770	21.9892	25.8686	27.4731	30.7288	30.8118	32.4335	33.2024	36.4360	31.0848	28.8916	28.9291	30.7323	29.6785	33.5072	28.5247	33.0289	29.0977	31.8217	30.4198	35.7289	40.5057	39.9797	39.9675	31.8778	59.5455	82.4067
EA																																	15.9000	15.4900	15.4900	16.6400	17.1500	18.5600	19.1400	19.6500	19.1900	18.5627	22.1299	19.9336	19.6174	17.8485	21.4676	19.6001	23.2288	20.8398	25.1768	22.0478	25.8415	23.1627	26.3466	22.1586	25.7978	21.6385	24.4119	21.0684	24.9898	21.3128	26.1562	22.9306	24.8055	20.3146	24.2249	18.9781	26.5011
LV																																		3.7573	7.1407	5.3856	5.3010	5.7471	6.6954	7.4552	7.5047	8.7616	18.3799	20.2039	16.5213	13.9640	16.7231	15.6707	16.2013	17.4424	18.6988	17.2653	17.0107	16.8800	16.6100	16.9300	16.6400	15.5500	14.4600	13.9700	14.3559	14.0583	15.7279	22.1205	22.3257	19.6674	21.9463	18.8677	33.1964
RO																																				4.0269	5.7203	6.4367	6.9238	7.6042	8.2437	5.9454	6.1610	4.8556	4.0825	4.2014	4.0470	4.1656	3.8859	3.9578	4.0666	4.2381	4.4829	4.4423	4.3082	4.2290	5.0482	4.9160	4.6882	7.1934	7.3399	7.5404	8.2622	8.1291	7.8770	7.6979	7.6073	7.4965	11.7439
