country	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
TR																																								7.1014	6.9114	9.3275	8.1781	6.3051	6.7580	6.9706	6.6470	6.2604	7.6381	8.7319	9.0856	7.9919	7.2594	8.1342	8.5809	7.8532	7.8645	7.0730	6.0571	5.6173	4.9697	4.7219	4.6400	5.9546	5.6114	4.6975		4.4652
IT																																	7.2240	7.2240	7.3810	7.5910	8.3270	9.2990	10.0080		10.1390	12.1360	12.5820	10.7700	10.2170	11.1820	11.2900	13.2000	13.6500	15.0900	14.9000	14.8600	13.8500	14.0900	13.3000	13.9100	12.2200	12.5700	11.5400	12.9400	11.8500	14.1500	12.6004	13.4802	11.6752	12.9035	10.8782	18.4443
FR																																				8.0300	9.6100	10.1900	10.2600	10.0400	10.9000	12.4380	12.1800	11.6700	11.4300	12.8800	12.6800	14.6600	14.9300	17.2500	15.8400	17.3500	14.8600	16.0900	14.4200	13.7800	11.5900	12.1500	11.1157	12.2257	11.5737	13.1043	11.8998	13.0857	11.9282	13.5449	11.2434	14.5271
SK																																	5.6714	5.7896	6.3775	5.4518	8.0284	7.8954	9.5249	9.7221	10.5218	13.8614	14.0990	11.1310	10.8440	12.2940	12.3600	13.6900	14.3000	14.3600	13.7000	13.6700	13.7400	13.6100	12.8200	12.5200	12.1700	11.5500	10.3915	11.4990	10.2620	11.1520	11.0910	11.9680	11.6190	12.2210	11.5140	13.7620
BE	8.2752	7.8903	5.5516	5.3835	5.0466	5.7753	6.2446	6.1624	6.0329	5.7803	5.9438	5.9314	5.9839	6.0027	6.0517	6.1524	5.9849	5.9549	6.0734	6.2083	6.1728	5.8857	5.5875	5.5132	6.5593	7.4120	8.5027	7.8657	7.5000	7.3500	7.7110	7.6940	7.7750	7.5900			10.0600	10.6900		8.7000	12.6500	15.8400	12.4500	10.7100	11.0600	12.7400	13.3700	14.4400	14.7800	14.5100	14.1200	14.0200	13.7500	12.9100	12.2800	12.2000	10.8200	10.6800	10.6781	11.0109	10.2030	11.5064	11.2987	10.4810	9.7883	9.9763	9.8782	14.1133
DK								5.1240	4.8888	4.8845	5.4263	5.7169	5.4364	5.4406	5.1666	5.0029	5.2728	5.5377	6.5495	5.9842	6.1790	5.3465	4.7035	5.4848	7.9394	8.6608	10.9590	9.0937	7.5341	8.0618	8.3284	7.6683	8.4585	10.9609	12.5798	12.0669	13.1344	16.1792	13.6439	14.3932	13.6066	14.0452	10.7111	11.7381	12.8042	13.0363	13.9496	13.6840	12.2852	11.8540	10.9787	10.7057	10.1452	9.5700	10.2848	9.5414	8.5107	9.0878	9.5560	9.3498	10.1826	10.5731	9.7889	8.0091	7.5671	7.4704	9.1636	20.3735
SE																																		8.8297	10.8869	11.0739	13.6289	13.7138	13.4699		15.9765	16.5502	11.9936	14.7138	14.7004	15.6844	15.6168	16.6077	17.3656	18.6770	18.6793	17.9389	16.0794	15.8911	16.2884	16.7664	14.4521	16.2632	15.5172	16.0903	15.1704	16.6102	14.6367	13.6977	14.4432	14.4962	20.8217	36.6144
EA																																8.3800	7.6000	7.5300	8.0600	8.4700	9.9900	10.5300	11.0600	10.1700	11.3467	13.0620	12.5466	11.0099	10.8399	11.7280	11.8376	12.9408	13.5348	14.4587	14.0572	14.5328	13.5496	13.7940	12.9329	12.9429	11.5781	11.6620	10.9703	11.3073	10.8417	11.9920	11.2539	11.6368	11.0488	11.2455	10.4241	14.2166
LV																																	3.5784	3.6689	3.6622	3.7926	4.4397	5.3879	6.2652	6.0984	8.2033	12.8334	13.2380	9.6717	7.9492	10.3497	9.6174	10.1347	11.2129	12.3223	11.1817	11.0890	10.6800	10.7100	10.8900	9.3600	8.8400	7.6800	8.4000	9.4407	9.5169	10.7100	10.5005	9.4321	8.2990	8.6006	8.8989	21.2517
RO																															2.2933	2.5627	2.8292	3.4032	3.7047	5.6194	6.3961	6.8832	7.5721	8.2310	5.9252	6.1182	4.8414	4.0203	4.1445	3.9859	4.1058	5.0400	5.4153	5.8359	6.4357	6.5455	6.7474	6.5347	6.6841	6.5629	6.4175	6.2888	8.6322	8.1366	8.3588	8.5077	9.1654	9.7393	9.6543	8.6367	8.5813	14.0853
CZ																									3.3659	3.8958	4.5884	4.8412	5.2866	5.1416	4.7020	5.0637	4.6445	4.6197	5.5267	5.6750	7.6060	8.0719	7.4127	7.3814	9.8667	11.9708	11.1540	11.0877	10.3372	11.5200	12.0306	13.2308	13.4733	13.4299	12.3173	12.0809	10.6016	11.0413	10.8641	11.1091	10.2729	10.3840	9.0481	9.7959	9.2951	9.1080	9.3503	9.5618	9.0020	8.7630	8.0237	8.6996
NL																																	7.3600	7.3900	8.3800	8.5100	9.7800	9.9300	10.9800		11.4100	12.7500	13.4700	10.7100	10.2400	10.7500	9.9900	11.9800	11.7400	12.9800	12.0200	12.4600	11.8400	11.9900	11.1600	11.2700	10.1500	10.1700	9.7000									
LT																															4.6656	4.3153	4.3150	4.2285	4.1358	3.8341	4.9485	5.6331	6.6028	6.6120	8.8922	12.9240	9.6047	8.4145	9.1092	10.0220	9.8268	12.3581	15.2804	15.6945	14.6490	11.6978	13.0242	12.1669	11.2500	9.1400	10.0100	7.5800	7.7000	9.2688	8.5373	10.4795	8.8845	7.2018	5.4194	5.7425	7.3558	23.5443
BG																																	4.5314	4.2198	3.7947	3.9851	4.2985	4.9453	4.9018	5.0629	6.2430	8.0632	9.6942	6.5855	7.2553	9.3931	9.0960	10.0112	10.9367	12.1025	10.9367	10.7629	10.6146	10.3589	10.0112	8.4569	7.3525	6.2276	7.0917	8.2531	8.3462	9.6696	9.9266	9.7056	8.9294	7.8782	8.1046	16.9628
HU									3.7822	4.0706	4.2110	3.9743	3.7644	3.4680	3.0531	2.4854	2.4943	2.8022	3.1711	3.5048	3.6208	3.3549	3.1963	2.9588	2.9068	3.1882	3.1307	3.7252	3.8031	3.7587	3.8577	3.9382	4.9185	5.2025	5.2745	5.8913	7.4677	7.1096	8.7463	8.9935	11.9350	13.2659	11.1544	11.3110	11.5170	11.4855	12.4478	13.0850	12.2165	12.0177	10.9574	12.2393	10.4949	10.8106	10.2751	10.2792	9.0492	8.4264	8.2509	8.1487	7.7848	8.3171	7.9825	8.1777	7.6547	7.3451	7.1305	9.1717
PT																													10.2200	9.6300	10.4400	10.4200	10.0800		9.5800	10.2800	11.4800	11.2500	11.6300	10.0900	14.5860	13.7780	14.6600	13.3592	11.7990	14.8050	14.6500	16.1300	15.8300	17.9400	17.8800	19.3800	19.3200	20.1600	19.7800	19.0600	17.7500	15.4200	13.6100	13.6196	13.0346	13.2682	14.1877	14.5236	13.3328	13.1509	13.0970	14.4300
ES																																			8.0567	8.2500	10.6200	11.1310	11.1620	9.7873	9.1980	10.5630	12.7004	11.9749	11.0269	11.3739	11.8100	10.6100	13.2400	13.6400	13.3900	15.1900	13.6100	15.2300	13.4500	14.4400	11.8600	12.5400	10.8515	10.0070	10.1836	12.4859	10.9737	12.1156	10.6015	8.6491	9.7138	15.0481
DE	7.6610	7.8524	5.9917	5.3451	4.5103	5.6982	6.3598	6.1869	6.1382	5.6844	5.8780	5.9664	5.9795	5.9848	5.8436	5.7714	5.5631	5.5840	5.8833	5.9531	5.8761	5.7723	5.3635	5.0362	5.7265	6.9127	8.4363	8.7789	8.2300	7.5400	7.8100	8.0920	7.8580	7.8700	8.8700	9.6400	11.3900	11.8100	13.0700	11.8600	12.9200	14.3200	12.0700	10.3500	10.9000	11.4700	11.8700	12.4100	12.9700	13.1500	13.3700	13.2700	12.8800	12.3200	12.2000	12.0600	11.4500	11.2300	10.9700	10.7580	10.5630	10.5910	10.4340	10.0422	10.6987	10.6166	10.2412	12.2731
LU																																			7.5024	8.1100	9.5679	10.0000	10.3936	9.4382	11.5300	12.6900	13.2000	12.2200	10.2400	11.7400	12.7800	14.2700	14.8800	14.8300	15.9700	14.6200	13.7400	13.1800	12.4200	11.9000	10.8300	10.1800	10.1300	10.0919	10.3176	10.7550	11.3662	10.4378	10.9776	9.8729	10.0426	15.0676
AT																										7.4991	8.1241	8.1241	8.1200	8.0500	7.8400			7.4600	7.4600	7.6200	9.2800	9.3300	9.4000	9.6700			12.7800	12.4700	12.3600	12.6700	13.0900	13.7800	13.8000	14.1400	14.0300	13.8100	14.1700	13.6500	13.4000	12.9200	12.6900	12.4900	11.9000	12.4317	12.0167	12.1694	11.7750	12.1750	11.5444	11.2417	11.7139	13.3661
IE																																		7.7410	8.9790	8.9800	11.2500	11.2470	15.0490	13.5440	12.4400	15.1500	14.4000	12.8200	10.2200	10.8000	9.8300	12.0400	11.7600	13.5100	13.1400	14.6800	13.6400	14.9100	13.4600	14.4300	13.1700	13.4300	12.3100	13.3389	11.2173	14.3802	12.2541	13.5321	12.6570	13.4083	10.7339	16.4903
UK																3.5900		3.1345	3.8125	4.1833	4.3876	4.3495	4.1442	4.3220	4.7401	4.6594	5.8822	6.0913	6.2327	5.9699	5.7525	4.9968	5.5768	5.5576	7.0133	8.0138	10.5236	11.7996	12.5111		10.5172	11.6638	11.4566	10.0651	10.3564	9.7608	10.2499	11.1478	13.0012	14.2345	13.0107	14.1688	14.1850	16.1224	15.2963	17.0073	13.8201	12.9043	11.9863	12.5281	11.5243	13.5201	13.2290	14.4671	13.7360			
PL																										8.5176	7.3437	6.4831	8.1900	6.9664	7.1123		5.1350	6.0088	6.1455	6.3802	7.4160	7.6748	8.3593	8.9114	9.6149	12.3044	9.0022	10.4535	9.8401	11.0667	10.5773	11.8926	10.8568	13.1824	10.8164	11.9981	11.2516	11.7054	11.4722	12.0479	9.9250	10.0987	9.4519	9.7741	9.4158	10.7389	11.0391	11.3876	10.7600	10.9994	10.3596	20.5294
HR																																			6.4217	6.6329	6.5716	6.6861	6.5770		6.1001	6.4118	7.3203	7.4349	9.4505	10.9455	11.2376	12.0136	12.5703	13.6153	13.6152	12.7197	12.5595	12.4253	12.5641	11.5848	11.1259	9.6124	9.0694	8.7004	8.8301	9.8504	10.2393	10.1329	9.8051	9.1607	9.4598	14.0994
EE																															3.6233		3.6233	3.7701	3.6219	3.6219	3.7823	4.1402	4.5780	4.9806	7.3969	9.9971	8.9301	6.5388	7.6496	8.1657	8.3600	9.0300	11.0100	10.8800	11.2300	9.8800	10.4100	10.4600	10.5900	7.8700	7.0200	6.2400	8.7300	7.1637	7.6937	8.2388	8.6602	8.3978	8.2478	7.0906	8.1998	17.6503
